"x","labels","labels.1","labels.2","labels.3","labels.4","labels.5","labels.6","labels.7","labels"
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
6,3,1,2,1,3,3,3,2,7
6,3,1,2,1,3,3,3,2,7
6,3,1,2,1,3,3,3,2,7
6,3,1,2,1,3,3,3,2,7
6,3,1,2,1,3,3,3,2,7
6,3,1,2,1,3,3,3,2,7
6,3,1,2,1,3,3,3,2,7
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
6,3,1,2,1,3,3,3,2,7
6,3,1,2,1,3,3,3,2,7
6,3,1,2,1,3,3,3,2,7
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
6,3,1,2,1,3,3,3,2,7
6,3,1,2,1,3,3,3,2,7
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
4,5,3,6,6,7,7,6,5,6
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
3,4,4,5,5,6,5,5,7,3
