"x","labels","labels.1","labels.2","labels.3","labels.4","labels.5","labels.6","labels.7","labels"
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
6,6,2,3,6,4,5,2,1,3
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
5,3,6,1,4,2,4,6,4,1
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
2,2,3,2,5,3,1,1,5,4
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
1,1,5,5,1,6,6,3,3,6
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
4,4,4,4,2,1,3,5,2,5
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
4,4,4,4,2,1,3,5,2,5
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
3,5,1,6,3,5,2,4,6,2
